Процесс 0 (Idle) вызвал ошибку: Отказано в доступе.
ID: 39752, Имя: RuntimeBroker, Приоритет: 8, Время начала: 17.01.2025 8:25:45, Сколько времени использовался: 00:00:00.0781250
ID: 45348, Имя: hpwuschd2, Приоритет: 8, Время начала: 17.01.2025 8:25:47, Сколько времени использовался: 00:00:00
ID: 29220, Имя: AsusSoftwareManagerAgent, Приоритет: 8, Время начала: 17.01.2025 8:25:51, Сколько времени использовался: 00:00:00.1562500
ID: 21048, Имя: ApplicationFrameHost, Приоритет: 8, Время начала: 17.01.2025 8:56:42, Сколько времени использовался: 00:00:00.1250000
ID: 37900, Имя: AsusSystemAnalysis, Приоритет: 8, Время начала: 17.01.2025 11:34:43, Сколько времени использовался: 00:00:00
ID: 45732, Имя: svchost, Приоритет: 8, Время начала: 17.01.2025 11:37:37, Сколько времени использовался: 00:00:00.0156250
ID: 31508, Имя: devenv, Приоритет: 8, Время начала: 17.01.2025 11:39:02, Сколько времени использовался: 00:00:27.1562500
ID: 44044, Имя: PerfWatson2, Приоритет: 8, Время начала: 17.01.2025 11:39:05, Сколько времени использовался: 00:00:05.4062500
ID: 12152, Имя: Microsoft.ServiceHub.Controller, Приоритет: 8, Время начала: 17.01.2025 11:39:06, Сколько времени использовался: 00:00:00.3281250
ID: 43640, Имя: ServiceHub.VSDetouredHost, Приоритет: 8, Время начала: 17.01.2025 11:39:06, Сколько времени использовался: 00:00:00.6406250
ID: 26404, Имя: ServiceHub.ThreadedWaitDialog, Приоритет: 8, Время начала: 17.01.2025 11:39:08, Сколько времени использовался: 00:00:00.2187500
ID: 43092, Имя: ServiceHub.IdentityHost, Приоритет: 8, Время начала: 17.01.2025 11:39:10, Сколько времени использовался: 00:00:00.4843750
ID: 21804, Имя: ServiceHub.RoslynCodeAnalysisService, Приоритет: 8, Время начала: 17.01.2025 11:39:11, Сколько времени использовался: 00:00:04.0625000
ID: 4872, Имя: ServiceHub.IndexingService, Приоритет: 6, Время начала: 17.01.2025 11:39:12, Сколько времени использовался: 00:00:00.1875000
ID: 35224, Имя: ServiceHub.SettingsHost, Приоритет: 8, Время начала: 17.01.2025 11:39:17, Сколько времени использовался: 00:00:00.3437500
ID: 19076, Имя: vsls-agent, Приоритет: 8, Время начала: 17.01.2025 11:39:17, Сколько времени использовался: 00:00:00.5000000
ID: 36136, Имя: conhost, Приоритет: 8, Время начала: 17.01.2025 11:39:17, Сколько времени использовался: 00:00:00.0156250
ID: 38168, Имя: ServiceHub.IntellicodeModelService, Приоритет: 8, Время начала: 17.01.2025 11:39:18, Сколько времени использовался: 00:00:00.2656250
ID: 41700, Имя: ServiceHub.Host.dotnet.x64, Приоритет: 8, Время начала: 17.01.2025 11:39:18, Сколько времени использовался: 00:00:00.5312500
ID: 41340, Имя: symsrvhost, Приоритет: 8, Время начала: 17.01.2025 11:42:21, Сколько времени использовался: 00:00:00
ID: 19524, Имя: conhost, Приоритет: 8, Время начала: 17.01.2025 11:42:21, Сколько времени использовался: 00:00:00.0156250
ID: 43444, Имя: smartscreen, Приоритет: 8, Время начала: 17.01.2025 12:20:08, Сколько времени использовался: 00:00:00.0156250
ID: 42784, Имя: WINWORD, Приоритет: 8, Время начала: 17.01.2025 12:20:08, Сколько времени использовался: 00:00:02.2812500
ID: 36560, Имя: VsDebugConsole, Приоритет: 8, Время начала: 17.01.2025 12:24:16, Сколько времени использовался: 00:00:00
ID: 37680, Имя: conhost, Приоритет: 8, Время начала: 17.01.2025 12:24:17, Сколько времени использовался: 00:00:00.0312500
ID: 46004, Имя: OpenConsole, Приоритет: 8, Время начала: 17.01.2025 12:24:17, Сколько времени использовался: 00:00:00
